source,target,weight
Jiliang Tang,Yali Wan,1
Jiliang Tang,Clayton Mellina,1
Jiliang Tang,Neil O'Hare,1
Jiliang Tang,Suhang Wang,2
Jiliang Tang,Yilin Wang,2
Jiliang Tang,Kai Shu,1
Jiliang Tang,Suhas Ranganath,1
Jiliang Tang,Huan Liu 0001,3
Jiliang Tang,Shiyu Chang,1
Jiliang Tang,Yang Zhang 0001,1
Jiliang Tang,Dawei Yin,2
Jiliang Tang,Yi Chang 0001,3
Jiliang Tang,Mark A. Hasegawa-Johnson,1
Jiliang Tang,Thomas S. Huang,1
Jiliang Tang,Guo-Jun Qi,1
Jiliang Tang,Jingdong Wang 0001,1
Jiliang Tang,Jiebo Luo,1
Yi Chang 0001,Huan Liu 0001,1
Yi Chang 0001,Liangda Li,1
Yi Chang 0001,Hongbo Deng,1
Yi Chang 0001,Anlei Dong,1
Yi Chang 0001,Ricardo Baeza-Yates,1
Yi Chang 0001,Hongyuan Zha,1
Yi Chang 0001,Yilin Wang,1
Yi Chang 0001,Baoxin Li,1
Yi Chang 0001,Yali Wan,1
Yi Chang 0001,Clayton Mellina,1
Yi Chang 0001,Neil O'Hare,1
Yi Chang 0001,Shiyu Chang,1
Yi Chang 0001,Yang Zhang 0001,1
Yi Chang 0001,Dawei Yin,1
Yi Chang 0001,Mark A. Hasegawa-Johnson,1
Yi Chang 0001,Thomas S. Huang,1
Yi Chang 0001,Makoto Yamada,1
Yi Chang 0001,Wenzhao Lian,1
Yi Chang 0001,Amit Goyal,1
Yi Chang 0001,Jianhui Chen,1
Yi Chang 0001,Kishan Wimalawarne,1
Yi Chang 0001,Suleiman A. Khan,1
Yi Chang 0001,Samuel Kaski,1
Yi Chang 0001,Hiroshi Mamitsuka,1
Yi Chang 0001,Jingyuan Zhang,1
Yi Chang 0001,Chun-Ta Lu,1
Yi Chang 0001,Bokai Cao,1
Yi Chang 0001,Philip S. Yu,1
Huan Liu 0001,Yilin Wang,1
Huan Liu 0001,Kai Shu,1
Huan Liu 0001,Suhas Ranganath,1
Huan Liu 0001,Kewei Cheng,1
Huan Liu 0001,Suhang Wang,3
Huan Liu 0001,Charu C. Aggarwal,2
Huan Liu 0001,Liang Wu 0006,3
Huan Liu 0001,Fred Morstatter,2
Marco Cristo,Raíza Hanada,1
Marco Cristo,André Luiz da Costa Carvalho,1
Marco Cristo,Fernando Anglada Lores,1
Marco Cristo,Maria da Graça Campos Pimentel,1
Raíza Hanada,André Luiz da Costa Carvalho,1
Raíza Hanada,Fernando Anglada Lores,1
Raíza Hanada,Maria da Graça Campos Pimentel,1
André Luiz da Costa Carvalho,Fernando Anglada Lores,1
André Luiz da Costa Carvalho,Maria da Graça Campos Pimentel,1
Fernando Anglada Lores,Maria da Graça Campos Pimentel,1
Yuxiang Zhang,Yaocheng Chang,1
Yuxiang Zhang,Xiaoqing Liu,1
Yuxiang Zhang,Sujatha Das Gollapalli,1
Yuxiang Zhang,Xiaoli Li 0001,1
Yuxiang Zhang,Chunjing Xiao,1
Yaocheng Chang,Xiaoqing Liu,1
Yaocheng Chang,Sujatha Das Gollapalli,1
Yaocheng Chang,Xiaoli Li 0001,1
Yaocheng Chang,Chunjing Xiao,1
Xiaoqing Liu,Sujatha Das Gollapalli,1
Xiaoqing Liu,Xiaoli Li 0001,1
Xiaoqing Liu,Chunjing Xiao,1
Sujatha Das Gollapalli,Xiaoli Li 0001,1
Sujatha Das Gollapalli,Chunjing Xiao,1
Xiaoli Li 0001,Chunjing Xiao,1
Sunjae Kwon,Youngjoong Ko,1
Sunjae Kwon,Jungyun Seo,1
Youngjoong Ko,Jungyun Seo,1
Minh C. Phan,Aixin Sun,1
Minh C. Phan,Jialong Han,1
Minh C. Phan,Chenliang Li,1
Minh C. Phan,Yi Tay,2
Minh C. Phan,Luu Anh Tuan,1
Minh C. Phan,Siu Cheung Hui,1
Aixin Sun,Yi Tay,1
Aixin Sun,Chenliang Li,1
Aixin Sun,Xin Zheng,1
Aixin Sun,Sibo Wang 0001,1
Aixin Sun,Jialong Han,2
Yi Tay,Jialong Han,1
Yi Tay,Chenliang Li,1
Yi Tay,Luu Anh Tuan,2
Yi Tay,Siu Cheung Hui,2
Jialong Han,Chenliang Li,1
Jialong Han,Xin Zheng,1
Jialong Han,Sibo Wang 0001,1
Chenliang Li,Qiang Chen,1
Chenliang Li,Wenjie Li 0002,1
Adit Krishnan,Aravind Sankar,1
Adit Krishnan,Shi Zhi,1
Aravind Sankar,Shi Zhi,1
Shi Zhi,Yicheng Sun,1
Shi Zhi,Jiayi Liu,1
Qinghao Hu,Jiaxiang Wu,1
Qinghao Hu,Lu Bai 0001,1
Qinghao Hu,Yifan Zhang 0001,1
Qinghao Hu,Jian Cheng 0001,1
Jiaxiang Wu,Lu Bai 0001,1
Jiaxiang Wu,Yifan Zhang 0001,1
Jiaxiang Wu,Jian Cheng 0001,1
Lu Bai 0001,Yifan Zhang 0001,1
Lu Bai 0001,Jian Cheng 0001,1
Yifan Zhang 0001,Jian Cheng 0001,1
Endong Zhu,Yanghui Rao,1
Endong Zhu,Haoran Xie 0001,1
Endong Zhu,Yuwei Liu,1
Endong Zhu,Jian Yin 0001,1
Endong Zhu,Fu Lee Wang,1
Yanghui Rao,Haoran Xie 0001,1
Yanghui Rao,Yuwei Liu,1
Yanghui Rao,Jian Yin 0001,1
Yanghui Rao,Fu Lee Wang,1
Haoran Xie 0001,Yuwei Liu,1
Haoran Xie 0001,Jian Yin 0001,1
Haoran Xie 0001,Fu Lee Wang,1
Yuwei Liu,Jian Yin 0001,1
Yuwei Liu,Fu Lee Wang,1
Jian Yin 0001,Fu Lee Wang,1
Qiongkai Xu,Qing Wang 0002,1
Qiongkai Xu,Chenchen Xu,1
Qiongkai Xu,Lizhen Qu,1
Qing Wang 0002,Chenchen Xu,1
Qing Wang 0002,Lizhen Qu,1
Chenchen Xu,Lizhen Qu,1
Evgeny Kharlamov,Luca Giacomelli,1
Evgeny Kharlamov,Evgeny Sherkhonov,1
Evgeny Kharlamov,Bernardo Cuenca Grau,1
Evgeny Kharlamov,Egor V. Kostylev,1
Evgeny Kharlamov,Rafael Peñaloza,1
Evgeny Kharlamov,Gulnar Mehdi,2
Evgeny Kharlamov,Ognjen Savkovic,2
Evgeny Kharlamov,Guohui Xiao 0001,2
Evgeny Kharlamov,Elem Güzel Kalayci,1
Evgeny Kharlamov,Sebastian Brandt 0001,1
Evgeny Kharlamov,Mikhail Roshchin,2
Evgeny Kharlamov,Thomas A. Runkler,1
Evgeny Kharlamov,Gong Cheng 0001,1
Evgeny Kharlamov,Martin Ringsquandl,1
Evgeny Kharlamov,Daria Stepanova 0001,1
Evgeny Kharlamov,Steffen Lamparter,1
Evgeny Kharlamov,Raffaello Lepratti,1
Evgeny Kharlamov,Ian Horrocks,4
Evgeny Kharlamov,Peer Kröger,1
Luca Giacomelli,Evgeny Sherkhonov,1
Luca Giacomelli,Bernardo Cuenca Grau,1
Luca Giacomelli,Egor V. Kostylev,1
Luca Giacomelli,Ian Horrocks,1
Evgeny Sherkhonov,Bernardo Cuenca Grau,1
Evgeny Sherkhonov,Egor V. Kostylev,1
Evgeny Sherkhonov,Ian Horrocks,1
Bernardo Cuenca Grau,Egor V. Kostylev,1
Bernardo Cuenca Grau,Ian Horrocks,1
Egor V. Kostylev,Ian Horrocks,1
Ian Horrocks,Rafael Peñaloza,1
Ian Horrocks,Gulnar Mehdi,2
Ian Horrocks,Ognjen Savkovic,2
Ian Horrocks,Guohui Xiao 0001,2
Ian Horrocks,Elem Güzel Kalayci,1
Ian Horrocks,Sebastian Brandt 0001,1
Ian Horrocks,Mikhail Roshchin,2
Ian Horrocks,Thomas A. Runkler,1
Ian Horrocks,Martin Ringsquandl,1
Ian Horrocks,Daria Stepanova 0001,1
Ian Horrocks,Steffen Lamparter,1
Ian Horrocks,Raffaello Lepratti,1
Ian Horrocks,Peer Kröger,1
Nina Hubig,Linnea Passing,1
Nina Hubig,Maximilian E. Schüle,1
Nina Hubig,Dimitri Vorona,1
Nina Hubig,Alfons Kemper,1
Nina Hubig,Thomas Neumann 0001,1
Linnea Passing,Maximilian E. Schüle,1
Linnea Passing,Dimitri Vorona,1
Linnea Passing,Alfons Kemper,1
Linnea Passing,Thomas Neumann 0001,1
Maximilian E. Schüle,Dimitri Vorona,1
Maximilian E. Schüle,Alfons Kemper,1
Maximilian E. Schüle,Thomas Neumann 0001,1
Dimitri Vorona,Alfons Kemper,1
Dimitri Vorona,Thomas Neumann 0001,1
Alfons Kemper,Thomas Neumann 0001,1
Yu Zhang 0044,Wei Wei 0019,1
Yu Zhang 0044,Binxuan Huang,1
Yu Zhang 0044,Kathleen M. Carley,1
Yu Zhang 0044,Yan Zhang,1
Wei Wei 0019,Binxuan Huang,1
Wei Wei 0019,Kathleen M. Carley,1
Wei Wei 0019,Yan Zhang,1
Binxuan Huang,Kathleen M. Carley,1
Binxuan Huang,Yan Zhang,1
Kathleen M. Carley,Yan Zhang,1
Yan Zhang,Tianshu Lyu,1
Yan Zhang,Yuan Zhang,1
Gaurav Baruah,Richard McCreadie,1
Gaurav Baruah,Jimmy Lin,1
Richard McCreadie,Jimmy Lin,1
Jimmy Lin,Jinfeng Rao,1
Jimmy Lin,Ferhan Türe,1
Jimmy Lin,Hua He,1
Jimmy Lin,Oliver Jojic,1
Xuntao Cheng,Bingsheng He,1
Xuntao Cheng,Xiaoli Du,1
Xuntao Cheng,Chiew Tong Lau,1
Bingsheng He,Xiaoli Du,1
Bingsheng He,Chiew Tong Lau,1
Xiaoli Du,Chiew Tong Lau,1
Wei Zhao,Wei Xu,1
Wei Zhao,Min Yang 0007,1
Wei Zhao,Jianbo Ye,1
Wei Zhao,Zhou Zhao,1
Wei Zhao,Yabing Feng,1
Wei Zhao,Yu Qiao 0001,1
Wei Xu,Min Yang 0007,1
Wei Xu,Jianbo Ye,1
Wei Xu,Zhou Zhao,1
Wei Xu,Yabing Feng,1
Wei Xu,Yu Qiao 0001,1
Min Yang 0007,Jianbo Ye,1
Min Yang 0007,Yabing Feng,1
Min Yang 0007,Yu Qiao 0001,1
Min Yang 0007,Yutong Wang,1
Min Yang 0007,Yixin Xu,1
Min Yang 0007,Zhou Zhao,2
Min Yang 0007,Jun Xiao 0001,1
Min Yang 0007,Yueting Zhuang,1
Jianbo Ye,Zhou Zhao,1
Jianbo Ye,Yabing Feng,1
Jianbo Ye,Yu Qiao 0001,1
Zhou Zhao,Yabing Feng,1
Zhou Zhao,Yu Qiao 0001,1
Zhou Zhao,Yutong Wang,1
Zhou Zhao,Yixin Xu,1
Zhou Zhao,Jun Xiao 0001,1
Zhou Zhao,Yueting Zhuang,1
Zhou Zhao,Zheqian Chen,1
Zhou Zhao,Ben Gao,1
Zhou Zhao,Huimin Zhang,1
Zhou Zhao,Haifeng Liu,1
Zhou Zhao,Deng Cai 0001,1
Yabing Feng,Yu Qiao 0001,1
Hoang Tam Vo,Lenin Mehedy,1
Hoang Tam Vo,Mukesh K. Mohania,1
Hoang Tam Vo,Ermyas Abebe,1
Lenin Mehedy,Mukesh K. Mohania,1
Lenin Mehedy,Ermyas Abebe,1
Mukesh K. Mohania,Ermyas Abebe,1
Ermyas Abebe,Wei Emma Zhang,1
Ermyas Abebe,Quan Z. Sheng,1
Ermyas Abebe,Jey Han Lau,1
Sutapa Mondal,Manish Shukla 0001,1
Sutapa Mondal,Sachin Lodha,1
Manish Shukla 0001,Sachin Lodha,1
Arun V. Sathanur,Sutanay Choudhury,1
Arun V. Sathanur,Cliff A. Joslyn,1
Arun V. Sathanur,Sumit Purohit,1
Sutanay Choudhury,Cliff A. Joslyn,1
Sutanay Choudhury,Sumit Purohit,2
Sutanay Choudhury,Lawrence B. Holder,1
Cliff A. Joslyn,Sumit Purohit,1
Sumit Purohit,Lawrence B. Holder,1
Jiajun Cheng,Shenglin Zhao,1
Jiajun Cheng,Jiani Zhang 0001,1
Jiajun Cheng,Irwin King,1
Jiajun Cheng,Xin Zhang 0018,1
Jiajun Cheng,Hui Wang 0030,1
Shenglin Zhao,Jiani Zhang 0001,1
Shenglin Zhao,Irwin King,1
Shenglin Zhao,Xin Zhang 0018,1
Shenglin Zhao,Hui Wang 0030,1
Jiani Zhang 0001,Xin Zhang 0018,1
Jiani Zhang 0001,Hui Wang 0030,1
Jiani Zhang 0001,Xingjian Shi,1
Jiani Zhang 0001,Irwin King,2
Jiani Zhang 0001,Dit-Yan Yeung,1
Irwin King,Xin Zhang 0018,1
Irwin King,Hui Wang 0030,1
Irwin King,Xingjian Shi,1
Irwin King,Dit-Yan Yeung,1
Xin Zhang 0018,Hui Wang 0030,1
Yixuan Tang,Weilong Huang,1
Yixuan Tang,Qi Liu,1
Yixuan Tang,Anthony K. H. Tung,1
Yixuan Tang,Xiaoli Wang,1
Yixuan Tang,Jisong Yang,1
Yixuan Tang,Beibei Zhang,1
Weilong Huang,Qi Liu,1
Weilong Huang,Anthony K. H. Tung,1
Weilong Huang,Xiaoli Wang,1
Weilong Huang,Jisong Yang,1
Weilong Huang,Beibei Zhang,1
Qi Liu,Anthony K. H. Tung,1
Qi Liu,Xiaoli Wang,1
Qi Liu,Jisong Yang,1
Qi Liu,Beibei Zhang,1
Anthony K. H. Tung,Xiaoli Wang,1
Anthony K. H. Tung,Jisong Yang,1
Anthony K. H. Tung,Beibei Zhang,1
Xiaoli Wang,Jisong Yang,1
Xiaoli Wang,Beibei Zhang,1
Jisong Yang,Beibei Zhang,1
Mohammad Hossein Namaki,Qi Song,1
Mohammad Hossein Namaki,Tingjian Ge,1
Mohammad Hossein Namaki,Peng Lin,2
Mohammad Hossein Namaki,Yinghui Wu,2
Yinghui Wu,Qi Song,1
Yinghui Wu,Tingjian Ge,1
Yinghui Wu,Peng Lin,2
Qi Song,Peng Lin,1
Qi Song,Tingjian Ge,1
Peng Lin,Tingjian Ge,1
Zhao Meng,Lili Mou,1
Zhao Meng,Zhi Jin,1
Lili Mou,Zhi Jin,1
Joyce Jiyoung Whang,Inderjit S. Dhillon,1
Inderjit S. Dhillon,Ian En-Hsu Yen,1
Inderjit S. Dhillon,Xiangru Huang,1
Inderjit S. Dhillon,Wei Dai 0003,1
Inderjit S. Dhillon,Pradeep Ravikumar,1
Inderjit S. Dhillon,Eric P. Xing,1
Inderjit S. Dhillon,Cho-Jui Hsieh,1
Inderjit S. Dhillon,Si Si,1
Nguyen Lu Dang Khoa,Ali Anaissi,1
Nguyen Lu Dang Khoa,Yang Wang,1
Ali Anaissi,Yang Wang,1
Yoonsuk Kang,Yong-Yeon Jo,1
Yoonsuk Kang,Jaehyuk Cha,1
Yoonsuk Kang,Wan D. Bae,1
Yoonsuk Kang,Sang-Wook Kim,1
Yong-Yeon Jo,Jaehyuk Cha,1
Yong-Yeon Jo,Wan D. Bae,1
Yong-Yeon Jo,Sang-Wook Kim,1
Jaehyuk Cha,Wan D. Bae,1
Jaehyuk Cha,Sang-Wook Kim,1
Wan D. Bae,Sang-Wook Kim,1
Rishabh Mehrotra,Ahmed Hassan Awadallah,1
Rishabh Mehrotra,Milad Shokouhi,1
Rishabh Mehrotra,Imed Zitouni,1
Rishabh Mehrotra,Ahmed El Kholy,1
Rishabh Mehrotra,Madian Khabsa,1
Rishabh Mehrotra,Emine Yilmaz,2
Ahmed Hassan Awadallah,Milad Shokouhi,1
